Date,DIS Close Price,NFLX Close Price
08-09-14,90.56,479.33
09-09-14,89.6,479.01
10-09-14,89.52,484.39
11-09-14,89.97,481.56
12-09-14,89.67,476.55
15-09-14,90.08,457.75
16-09-14,90.27,456.91
17-09-14,90.33,454.53
18-09-14,90.34,459.01
19-09-14,90.49,457.52
22-09-14,89.29,442.78
23-09-14,88.31,443.9
24-09-14,89.45,450.56
25-09-14,88.07,443.49
26-09-14,88.74,448.75
29-09-14,88.83,449.56
30-09-14,89.03,451.18
01-10-14,87.49,438.8
02-10-14,86.79,449.98
03-10-14,88.45,459.54
06-10-14,88.56,463.48
07-10-14,87.11,456.25
08-10-14,88.11,466.86
09-10-14,85.71,461.62
10-10-14,86.27,452.08
13-10-14,83.91,438.58
14-10-14,84.14,449.12
15-10-14,82.08,448.59
16-10-14,81.74,361.7
17-10-14,83.83,357.09
20-10-14,85.52,359.22
21-10-14,87.54,365.99
22-10-14,87.1,374.65
23-10-14,87.99,383.04
24-10-14,88.61,385.02
27-10-14,88.45,379.4
28-10-14,89.93,386.22
29-10-14,89.53,378.1
30-10-14,90.22,379.01
31-10-14,91.38,392.77
03-11-14,91.71,388.41
04-11-14,90.35,382.78
05-11-14,91,380.38
06-11-14,92,383.3
07-11-14,90,384.16
10-11-14,89.78,387.27
11-11-14,89.98,382.55
12-11-14,89.9,383.86
13-11-14,90.49,379.41
14-11-14,90.8,386.04
17-11-14,90.41,381.14
18-11-14,90.28,381.03
19-11-14,89.82,363.1
20-11-14,88.9,368.14
21-11-14,88.96,360.28
24-11-14,90.58,356.47
25-11-14,91.65,348.99
26-11-14,91.92,351.16
28-11-14,92.51,346.59
01-12-14,92.7,341.81
02-12-14,93.47,352.31
03-12-14,93.11,355.12
04-12-14,93.23,350.6
05-12-14,93.76,350.92
08-12-14,93.8,339.48
09-12-14,92.94,343.78
10-12-14,91.63,334.32
11-12-14,91.75,334.63
12-12-14,91.49,334.48
15-12-14,90.9,327.04
16-12-14,90.17,316.44
17-12-14,91.38,333.65
18-12-14,92.61,334.42
19-12-14,92.89,340.12
22-12-14,94.2,336.68
23-12-14,94.69,336.43
24-12-14,94.42,342.1
26-12-14,95.03,340.05
29-12-14,95.5,341.93
30-12-14,94.7,343.23
31-12-14,94.19,341.61
02-01-15,93.75,348.94
05-01-15,92.38,331.18
06-01-15,91.89,325.51
07-01-15,92.83,327.2
